Mchi,dMchi,ct,alphaD,xsec(pb),mA,mA/m1,m1,m2,delta
55.0000,10.0000,100.0000,0.1,2.6351132e-06,105.0000,2.1000,50.0000,60.0000,0.2000
55.0000,10.0000,100.0000,aEM,2.6351145e-06,105.0000,2.1000,50.0000,60.0000,0.2000
55.0000,10.0000,10.0000,0.1,2.635111e-05,105.0000,2.1000,50.0000,60.0000,0.2000
55.0000,10.0000,10.0000,aEM,2.6351376e-05,105.0000,2.1000,50.0000,60.0000,0.2000
55.0000,10.0000,1.0000,0.1,0.00026351143,105.0000,2.1000,50.0000,60.0000,0.2000
55.0000,10.0000,1.0000,aEM,0.00026355935,105.0000,2.1000,50.0000,60.0000,0.2000
36.7500,3.5000,100.0000,0.1,0.045651947,105.0000,3.0000,35.0000,38.5000,0.1000
36.7500,3.5000,100.0000,aEM,0.382717616,105.0000,3.0000,35.0000,38.5000,0.1000
36.7500,3.5000,10.0000,0.1,0.45660299,105.0000,3.0000,35.0000,38.5000,0.1000
36.7500,3.5000,10.0000,aEM,3.67520875,105.0000,3.0000,35.0000,38.5000,0.1000
36.7500,3.5000,1.0000,0.1,4.5701491,105.0000,3.0000,35.0000,38.5000,0.1000
36.7500,3.5000,1.0000,aEM,25.9779899,105.0000,3.0000,35.0000,38.5000,0.1000
38.5000,7.0000,100.0000,0.1,0.001378394,105.0000,3.0000,35.0000,42.0000,0.2000
38.5000,7.0000,100.0000,aEM,0.0119823649,105.0000,3.0000,35.0000,42.0000,0.2000
38.5000,7.0000,10.0000,0.1,0.01378668,105.0000,3.0000,35.0000,42.0000,0.2000
38.5000,7.0000,10.0000,aEM,0.119726813,105.0000,3.0000,35.0000,42.0000,0.2000
38.5000,7.0000,1.0000,0.1,0.13784713,105.0000,3.0000,35.0000,42.0000,0.2000
38.5000,7.0000,1.0000,aEM,1.18172935,105.0000,3.0000,35.0000,42.0000,0.2000
53.5500,5.1000,100.0000,0.1,1.0082929265,107.1000,2.1000,51.0000,56.1000,0.1000
53.5500,5.1000,100.0000,aEM,0.093713217058,107.1000,2.1000,51.0000,56.1000,0.1000
53.5500,5.1000,10.0000,0.1,1.09807426836,107.1000,2.1000,51.0000,56.1000,0.1000
53.5500,5.1000,10.0000,aEM,0.29347120249,107.1000,2.1000,51.0000,56.1000,0.1000
53.5500,5.1000,1.0000,0.1,3.4512173538,107.1000,2.1000,51.0000,56.1000,0.1000
53.5500,5.1000,1.0000,aEM,0.9076134363,107.1000,2.1000,51.0000,56.1000,0.1000
56.1000,10.2000,100.0000,0.1,2.2885958e-06,107.1000,2.1000,51.0000,61.2000,0.2000
56.1000,10.2000,100.0000,aEM,2.2886311e-06,107.1000,2.1000,51.0000,61.2000,0.2000
56.1000,10.2000,10.0000,0.1,2.2886301e-05,107.1000,2.1000,51.0000,61.2000,0.2000
56.1000,10.2000,10.0000,aEM,2.2886654e-05,107.1000,2.1000,51.0000,61.2000,0.2000
56.1000,10.2000,1.0000,0.1,0.00022886654,107.1000,2.1000,51.0000,61.2000,0.2000
56.1000,10.2000,1.0000,aEM,0.00022890155,107.1000,2.1000,51.0000,61.2000,0.2000
37.8000,3.6000,100.0000,0.1,0.030256354,108.0000,3.0000,36.0000,39.6000,0.1000
37.8000,3.6000,100.0000,aEM,0.26139156,108.0000,3.0000,36.0000,39.6000,0.1000
37.8000,3.6000,10.0000,0.1,0.30244193,108.0000,3.0000,36.0000,39.6000,0.1000
37.8000,3.6000,10.0000,aEM,2.53729444,108.0000,3.0000,36.0000,39.6000,0.1000
37.8000,3.6000,1.0000,0.1,3.0258878,108.0000,3.0000,36.0000,39.6000,0.1000
37.8000,3.6000,1.0000,aEM,19.5207402,108.0000,3.0000,36.0000,39.6000,0.1000
39.6000,7.2000,100.0000,0.1,0.00090672602,108.0000,3.0000,36.0000,43.2000,0.2000
39.6000,7.2000,100.0000,aEM,0.008173144,108.0000,3.0000,36.0000,43.2000,0.2000
39.6000,7.2000,10.0000,0.1,0.0090672602,108.0000,3.0000,36.0000,43.2000,0.2000
39.6000,7.2000,10.0000,aEM,0.081643769,108.0000,3.0000,36.0000,43.2000,0.2000
39.6000,7.2000,1.0000,0.1,0.090677099,108.0000,3.0000,36.0000,43.2000,0.2000
39.6000,7.2000,1.0000,aEM,0.80753071,108.0000,3.0000,36.0000,43.2000,0.2000
54.6000,5.2000,100.0000,0.1,0.974510176293,109.2000,2.1000,52.0000,57.2000,0.1000
54.6000,5.2000,100.0000,aEM,0.082063276848,109.2000,2.1000,52.0000,57.2000,0.1000
